Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
210.0,34.13068175315857,1.245176695715997,13.789332178471724,16547198614.166075,78332104.48433352
212.0,34.454933166503906,1.2570062368417974,13.920334848746378,16704401818.495646,89223787.06464148
214.0,34.866822957992554,1.2720330556224542,14.086744802020533,16904093762.42464,93845155.01992655
216.0,35.22920298576355,1.2852536285027951,14.233152032146123,17079782438.575352,96346981.22439384
218.0,35.661734104156494,1.3010334969709967,14.407901406101843,17289481687.322216,75736563.82804298
220.0,35.8540678024292,1.3080503342150362,14.485607244906276,17382728693.887524,79564118.64993382
222.0,36.31817817687988,1.324982296684627,14.673115134934967,17607738161.92195,109093562.64778042
224.0,36.7541446685791,1.3408874965720181,14.849252453732205,17819102944.478645,117430507.78054905
226.0,37.287039041519165,1.360328879526572,15.064550160870127,18077460193.044147,95943399.3452158
228.0,37.54572606086731,1.3697664597749282,15.169063784882923,18202876541.85951,86190536.63290596
230.0,37.998154401779175,1.3862722310530766,15.351851949646473,18422222339.57577,93593255.89055729
232.0,38.317917585372925,1.3979380297979858,15.481041304518115,18577249565.421738,93618425.57527256
234.0,38.77055358886719,1.414451377151234,15.663913368230716,18796696041.87686,95487166.30007744
236.0,39.10573482513428,1.4266796668543091,15.799331858851701,18959198230.622047,98124839.44811916
238.0,39.58013296127319,1.4439869538251178,15.990996166391113,19189195399.66934,103324127.63837814
240.0,39.958210945129395,1.4577802292734607,16.143745617646303,19372494741.17556,63972120.26285362
242.0,40.107935190200806,1.4632425620242366,16.204236567267294,19445083880.720753,79136956.4461546
244.0,40.611130714416504,1.4816004531637534,16.40753547246682,19689042566.96018,111116240.12400436
246.0,41.02470016479492,1.496688550301562,16.57462403434731,19889548841.21677,104276876.78318977
248.0,41.4714674949646,1.5129877930754936,16.75512506174411,20106150074.092937,115400288.06814575
250.0,41.976810693740845,1.531424037010074,16.959291661241124,20351149993.489353,96866037.34022903
252.0,42.27066111564636,1.5421444703149025,17.07801185287822,20493614223.453854,95951808.50509357
254.0,42.76846146583557,1.560305531370107,17.27913102292478,20734957227.509727,91287238.85215855
256.0,43.02382683753967,1.569621929209402,17.382302649052072,20858763178.862488,87512364.09368801
258.0,43.490482568740845,1.5866467529623072,17.570838903237068,21085006683.88448,112149642.07024765
260.0,43.94911789894104,1.6033789714725466,17.75613478928623,21307361747.14348,73395812.04678726
262.0,44.09603500366211,1.60873889238839,17.815491610059688,21378589932.07163,61974352.39423561
264.0,44.460437536239624,1.6220332515432117,17.962715963933682,21555259156.72042,78064514.03601837
266.0,44.7401065826416,1.6322363111132314,18.075706656846414,21690847988.215702,88654218.19463158
268.0,45.19187951087952,1.6487181712197958,18.258230024582453,21909876029.498947,86364383.73193932
270.0,45.452656269073486,1.6582319906165455,18.363587935952886,22036305523.14346,86969467.5761385
272.0,45.90942144393921,1.6748959809602133,18.548128249836246,22257753899.8035,89982923.25008869
274.0,46.19506072998047,1.685316850514822,18.663531013453174,22396237216.143814,83045684.22369671
276.0,46.594590187072754,1.6998927319115462,18.82494719724857,22589936636.698288,100365692.72183609
278.0,47.023128271102905,1.7155269240240947,18.998083322525964,22797699987.03116,108639901.47627926
280.0,47.49092411994934,1.7325933422559063,19.187080202169504,23024496242.603405,99709460.37941742
282.0,47.845781564712524,1.7455394715982995,19.330448190457354,23196537828.54883,104539525.76642323
284.0,48.35342788696289,1.7640597395115996,19.535545288057584,23442654345.669098,96897102.10609436
286.0,48.64523148536682,1.7747054993322338,19.65343853081101,23584126236.973206,64384775.943406105
288.0,48.88463473320007,1.7834395570705648,19.750161207868928,23700193449.442722,67576384.43743038
290.0,49.202770709991455,1.7950459910479002,19.87869314560244,23854431774.722927,92652556.98515606
292.0,49.649065017700195,1.811327976723097,20.059003064486127,24070803677.383347,113119758.58648872
294.0,50.13606572151184,1.8290950383824334,20.25575900755741,24306910809.068882,93830735.18907356
296.0,50.42321586608887,1.839571028015008,20.37177218178303,24446126618.13964,84696711.51031017
298.0,50.834856271743774,1.854588748547037,20.538081379258436,24645697655.110123,81573734.47576618
300.0,51.096240282058716,1.8641247220922135,20.64368463003558,24772421556.042706,50946360.5110445
302.0,51.255189418792725,1.8699236030608613,20.70790258096192,24849483097.1543,78402758.76577187
304.0,51.74310255050659,1.887723952480711,20.90502715925483,25086032591.105793,131050948.29217243
306.0,52.33642578125,1.909369938496805,21.144739075269158,25373686890.32299,103515342.1088438
308.0,52.597156286239624,1.918882070455473,21.25007829961764,25500093959.54117,94693671.03870392
310.0,53.1176962852478,1.937872733479455,21.46038464539818,25752461574.477806,83384969.26188946
312.0,53.2851243019104,1.9439809462033018,21.528028197157276,25833633836.588726,76435882.27828503
314.0,53.74833083152771,1.9608799340452188,21.71517091965913,26058205103.590946,113848957.00687695
316.0,54.224435567855835,1.9782494822623717,21.907524720513535,26289029664.616234,83350725.77579498
318.0,54.43601632118225,1.985968502503733,21.99300667224511,26391608006.694126,76729104.7706232
320.0,54.857489347457886,2.001344942798329,22.163288403082277,26595946083.698727,92461775.97653866
322.0,55.198872566223145,2.013799497072671,22.301212592166905,26761455110.60028,75923039.11562252
324.0,55.48389267921448,2.0241977775721316,22.41636520013435,26899638240.161217,103825758.5878725
326.0,56.055487394332886,2.0450510504076207,22.647298454126478,27176758144.95177,91059931.45837498
328.0,56.235183000564575,2.0516068169411024,22.719898304995596,27263877965.994717,63149265.1855526
330.0,56.57650065422058,2.0640589792284723,22.857796004744984,27429355205.69398,79690862.89467812
332.0,56.8926727771759,2.0755937666724003,22.985534514644527,27582641417.57343,104481788.64809227
334.0,57.438528060913086,2.095507997611548,23.20606863357196,27847282360.28635,109196668.77300358
336.0,57.79360032081604,2.1084619639730744,23.34952341055454,28019428092.665443,64432138.874812126
338.0,57.970125675201416,2.114902071412866,23.420842429821327,28105010915.7856,56759083.91046524
340.0,58.26189136505127,2.1255464482301245,23.53872035692276,28246464428.307304,106867938.33370113
342.0,58.851840019226074,2.1470693208513105,23.77706889093367,28532482669.120403,107499954.60747242
344.0,59.14882016181946,2.1579039345669737,23.897053538947652,28676464246.737194,63783997.82024765
346.0,59.378090143203735,2.166268304195205,23.989682217001167,28787618660.401394,52532108.44314861
348.0,59.582236528396606,2.1737160992083617,24.072160567091494,28886592680.50979,95170334.5856762
350.0,60.16329336166382,2.1949145749054932,24.30691666562008,29168299998.7441,92408604.65635872
352.0,60.34465408325195,2.2015310892099254,24.380189249279347,29256227099.135223,79367615.94490814
354.0,60.818116188049316,2.218804227304911,24.571475385436436,29485770462.52373,72329409.20508099
356.0,60.94140815734863,2.223302241380655,24.621287279962957,29545544735.955547,74109203.55840397
358.0,61.42955446243286,2.2411110975759905,24.818506063964456,29782207276.757347,98253201.95043087
360.0,61.75204658508301,2.2528764551677347,24.948797953131063,29938557543.75727,99637361.2251482
362.0,62.25161290168762,2.27110194330476,25.15063060138162,30180756721.65794,105417170.42147732
364.0,62.62179136276245,2.284607023464599,25.30018852120265,30360226225.44318,72317994.70971489
366.0,62.84827280044556,2.2928696597123843,25.391690583747334,30470028700.4968,43967711.42931461
368.0,62.98454713821411,2.2978413046048227,25.446747559300363,30536097071.16044,96705280.78904247
370.0,63.64614009857178,2.3219779492298858,25.714041519710804,30856849823.65297,127423826.2294054
372.0,64.0358579158783,2.336195876299874,25.871493646731714,31045792376.07806,74357548.30060768
374.0,64.25962734222412,2.344359571268369,25.961900014046172,31154280016.8554,62462574.92385578
376.0,64.5512056350708,2.3549971113519548,26.07970222981124,31295642675.773483,109203141.80329037
378.0,65.16060829162598,2.377229716951159,26.3259104867238,31591092584.06856,118513266.58270359
380.0,65.52899980545044,2.390669604593348,26.474746451753575,31769695742.104298,79436825.35351753
382.0,65.81600213050842,2.401140201382568,26.590699904568858,31908839885.48263,57321226.1341238
384.0,66.00192880630493,2.4079232936597195,26.66581720553399,31998980646.640793,74714345.19751167
386.0,66.43243312835693,2.4236292192870192,26.8397477218939,32207697266.27268,126629492.94179344
388.0,67.04668593406677,2.4460387710351994,27.087915515339972,32505498618.407967,95443299.9609251
390.0,67.21988844871521,2.4523576525752575,27.15789205509698,32589470466.11638,68474864.15870285
392.0,67.61163806915283,2.466649705146969,27.316165062535653,32779398075.042778,67413807.34647655
394.0,67.77608633041382,2.4726492085865472,27.382604746251914,32859125695.502285,89957002.23150063
396.0,68.35382866859436,2.493726762818651,27.616021736640654,33139226083.96878,93327399.28963757
398.0,68.5460844039917,2.500740755772728,27.69369607721736,33232435292.660835,52323584.39616966
400.0,68.78552460670471,2.509476161721898,27.790433684627885,33348520421.55346,75758843.76710129
402.0,69.17113304138184,2.5235441677466253,27.946225556441036,33535470667.72924,97724234.00697327
404.0,69.59179878234863,2.5388911561579968,28.116181131317795,33739417357.581352,87417262.56394386
406.0,69.89236950874329,2.5498567637783727,28.237616431654182,33885139717.985016,96188998.82904434
408.0,70.38540649414062,2.5678440448055393,28.436811127414607,34124173352.89753,112124212.30842209
410.0,70.81745076179504,2.5836061516832074,28.61136380601559,34333636567.218704,69042612.48894882
412.0,70.9550428390503,2.5886258711647128,28.66695316904444,34400343802.853325,64553161.42314148
414.0,71.35004687309265,2.6030366532715727,28.826541010759392,34591849212.91127,80142009.98745155
416.0,71.61625480651855,2.612748616170936,28.934093202335944,34720911842.80313,63341375.47717285
418.0,71.87264513969421,2.622102407290202,29.037678929016636,34845214714.81996,48502531.50201988
420.0,72.01642513275146,2.6273478781530435,29.09576830734268,34914921968.81121,59485009.89102936
422.0,72.36342644691467,2.640007395267402,29.23596229532007,35083154754.38408,116193523.25240707
424.0,72.97508025169373,2.662322128652018,29.483080051517362,35379696061.82084,78242724.65100479
426.0,73.00896835327148,2.663558455387354,29.496771377490084,35396125652.9881,44524912.1878891
428.0,73.34243321418762,2.675724127220573,29.631496425476996,35557795710.572395,95236162.99185944
430.0,73.79471468925476,2.692224540447904,29.814225254129617,35777070304.955536,112594865.18441582
432.0,74.2713975906372,2.7096151816410816,30.006812642758383,36008175171.31006,111091359.41385269
434.0,74.71127438545227,2.7256630396314736,30.18452978550912,36221435742.61095,90365554.47321129
436.0,75.01695895195007,2.7368152135375188,30.308031157669085,36369637389.2029,91780980.79599571
438.0,75.46851372718811,2.7532891148510683,30.490466388162446,36588559665.79493,81655803.25257492
440.0,75.69066047668457,2.7613936103165435,30.580217168511005,36696260602.2132,82223985.04466248
442.0,76.1469030380249,2.778038534349512,30.764546338311334,36917455605.97358,93263795.98761368
444.0,76.46013379096985,2.789466012908815,30.891096488469714,37069315786.16366,88878924.81731987
446.0,76.88019895553589,2.8047910907195255,31.06080942103572,37272971305.24286,80137848.75369835
448.0,77.12131142616272,2.8135875053836785,31.15822265098204,37389867181.17845,53294683.42593765
450.0,77.31990694999695,2.820832790430732,31.238458365788844,37486150038.94661,73764716.9780178
452.0,77.7299075126648,2.835790685194062,31.404105040908775,37684926049.09052,101916532.52634239
454.0,78.16076970100403,2.8515096667211615,31.578180140876654,37893816169.05198,66273773.7852993
456.0,78.27669954299927,2.855739091103437,31.62501762019309,37950021144.23172,47845894.595207214
458.0,78.55552244186401,2.8659112809943186,31.737666456194006,38085199747.43281,91031785.33562851
460.0,79.02775764465332,2.8831396584894606,31.928456904645195,38314148285.574234,103831884.84867477
462.0,79.41218781471252,2.89716467833377,32.083772739022926,38500527286.82751,101163118.03730583
464.0,79.86240434646606,2.91358975701869,32.26566729810288,38718800757.72346,83824297.29490852
466.0,80.10378050804138,2.9223957918195373,32.36318706333928,38835824476.00714,83795515.42811203
468.0,80.55375957489014,2.938812207162552,32.54498568286325,39053982819.435905,70229084.26291656
470.0,80.6832058429718,2.943534746182675,32.59728401088233,39116740813.05881,117219065.09044838
472.0,81.52087593078613,2.974095145754777,32.93571589983142,39522859079.7977,102313728.06760597
