SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
111307.8949222985,10.954528963561081,1.042071755311838,34.012223121076886,441.6166228815878,4.925966442054261,72.12569441435619,0.1738504311399609,0.6005295152369285,17.846608782767127,0.0,245.50760417692914,689.0,2067.0,100.0
354061.61231897306,9.361878928828773,0.23254359044310746,32.41362733600704,798.2078343107216,4.554516200091847,65.50205983537148,0.0,0.7809185524712632,5.785937892599364,9.828868162031767e-06,259.02590966615276,689.0,2067.0,100.0
39772.85558992767,9.975612256536522,2.4801134570566674,29.158152500931067,636.9345029149765,4.381964086707086,111.49386505550109,0.23495050148650876,1.432454011794107,19.099853104026973,0.0,0.0,689.0,2067.0,100.0
60915.708477415,10.512266646139182,0.8589379259608592,28.56079683589516,375.54757020411716,4.756574544859653,81.8441565159743,0.06121369648223407,1.0982966995827326,50.16768690279552,0.0,0.0,689.0,2067.0,100.0
242401.17447594163,8.30248679172528,0.8186449434982492,33.6609701750053,677.0136903406426,4.788480503224676,78.45721010263742,0.09105990325949165,1.0659032756915394,20.774365265499366,0.0,260.47718826225105,689.0,2067.0,100.0
64745.997484249885,10.891624452845186,0.7163557816528083,33.46541246348133,621.8039548000388,3.056383213544855,117.94720214517355,0.13265982871276805,0.9026030863246319,32.8831261783299,0.0,0.0,689.0,2067.0,100.0
16187.490604748411,24.638227940129436,0.8072804780294547,30.87652451958914,654.8563410932907,5.700314142672745,99.68031788503436,0.26870065107880947,1.3805357223177168,46.33110402083572,9.079877834405892e-05,5.193452437343808,689.0,2067.0,100.0
340759.8833053831,11.005040256255178,0.2279584137755677,31.619077518415537,674.1884299936714,4.257259819820327,87.1237219292268,0.0,0.855295959321694,4.82001728931624,0.0,296.2399069637821,689.0,2067.0,100.0
88929.88204053829,12.019353007079978,1.291778636532527,42.67770670078025,656.6690613633862,7.168150881376974,91.30588552261116,0.24596909512585796,1.2517677598914076,19.870700742773668,0.0,234.28126467588595,689.0,2067.0,100.0
21978.325243803847,19.140524431634038,1.9984438963283964,34.725343302272904,752.2775376389195,5.3093329531882745,64.27242843562391,0.2672457176820018,3.254092809788091,42.835316553096554,0.0,335.35106020037085,689.0,2067.0,100.0
