Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
327,28.442002058029175,-2.526404451174356,-315.8005563967945,-189480333838.0767,289035981.53877234
330,28.59853219985962,-2.5206938214777677,-315.086727684721,-189052036610.83255,287209925.66837925
333,29.103013038635254,-2.5022890386954684,-312.7861298369335,-187671677902.16013,291433545.3449074
336,29.234015226364136,-2.4975097356499694,-312.1887169562462,-187313230173.74768,299937308.18359756
339,29.570486545562744,-2.485234380341424,-310.65429754267797,-186392578525.60678,307270064.87656033
342,30.142656803131104,-2.464360110209389,-308.0450137761736,-184827008265.70416,308850860.9958855
345,30.366871118545532,-2.4561801845220232,-307.02252306525287,-184213513839.15176,305240453.8328392
348,30.673582315444946,-2.444990556449066,-305.6238195561333,-183374291733.67996,300927855.23062843
351,30.970259189605713,-2.434167006760415,-304.2708758450519,-182562525507.03113,299153895.3493685
354,31.360496282577515,-2.4199301351536096,-302.4912668942012,-181494760136.52072,299518834.0905069
357,31.650465726852417,-2.4093512900812457,-301.1689112601557,-180701346756.09344,299999064.38975024
360,32.037919759750366,-2.3952159517977947,-299.40199397472435,-179641196384.8346,298940716.2296093
363,32.234931230545044,-2.3880284571559813,-298.5035571444977,-179102134286.6986,295262514.6735427
366,32.73517179489136,-2.369778370694752,-296.222296336844,-177733377802.1064,289574472.0422065
369,33.018914461135864,-2.359426694799638,-294.92833684995475,-176957002109.97284,285740095.19938284
