SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
837998.4884524045,11.295679140266415,0.6365375907788646,24.402354732467842,777.3479141186544,4.879180202335007,73.39956663431707,0.0,0.9653127918996063,6.466191004773378,0.007602675336869424,296.9964577444563,592.0,2711.0,100.0
765909.3601393923,9.789516502270452,0.7196917785718426,29.84621546138004,641.7246137585523,5.2221635717968695,71.37080750149528,0.0,1.0405725326070012,4.013740742568139,0.0,307.3034408939443,592.0,2711.0,100.0
882928.3048881993,8.843632802399767,0.5599313236263797,35.87618817235071,772.4464767207178,5.222062206466738,89.10339084924885,0.0,1.176525960203577,4.039692828624254,0.0,342.2253302434914,592.0,2711.0,100.0
274789.41847783234,9.69942239803538,3.886557285388534,31.59188123573125,492.4581702981002,1.1733493607835044e-06,76.57641569207465,0.5259557947959976,0.6158966059850002,23.143314445303872,0.0,294.56843845946673,592.0,2711.0,100.0
754231.1360876564,12.071012838875156,0.6077073576940819,30.391797332469167,674.7714893854875,5.318048293886726,23.912311341413783,0.0,1.2597452879242041,4.180471620697858,0.0,278.6682940498879,592.0,2711.0,100.0
813199.5184173528,9.510889666711833,0.6207326763300145,34.06271668091128,663.7531819476219,4.7649172349811835,73.9701956331291,0.0,0.9368851713047093,3.6798115646956617,3.5507596862771607e-11,344.804569640163,592.0,2711.0,100.0
833511.7593815278,10.584271042358125,0.6089712891185854,29.01909236757959,746.5507754337125,5.38420695426629,89.10903099485614,0.0,1.118238283763219,4.373604037301384,0.0,289.85765177777137,592.0,2711.0,100.0
826513.4407951591,9.087424791467228,0.9787404923183232,26.773946113227368,786.2509188888585,7.06458509090519,94.64013772445554,0.05005001833377776,0.6251851280538006,16.09636840608116,0.0,295.34893138489576,592.0,2711.0,100.0
1465890.8189546247,11.154504598432865,0.8297724991808124,26.272684023469736,747.8504060326438,4.430802323152292,84.25877269241454,0.010865902657712923,0.9667696142333284,4.313728864332894,0.0,254.5616274593018,592.0,2711.0,100.0
486368.1133166017,10.513822693471866,0.6069400275081378,29.17356508080735,588.6582487922531,0.0,90.82953067677823,0.0,0.9128473395749381,3.9352231979129684,0.0,0.0,592.0,2711.0,100.0
723478.1575317781,9.474968973956976,0.7180373017766613,30.090715649584695,642.3657380765135,5.311168736575468,64.85327601319369,0.019138484830612867,0.0,3.342643747488424,0.0,268.56485377531874,592.0,2711.0,100.0
772234.629951157,7.703937368870477,0.9378740141997497,26.989198150383857,705.2425555345428,9.960694301719911,91.58034693673443,0.0,1.361160876002657,9.260879792209039,0.0,276.65335793534007,592.0,2711.0,100.0
705216.3600510624,8.694751002391726,1.608027673963342,26.653267560187032,715.4934961100521,6.620682978341719,85.76823240076135,0.08156756599021264,1.0073362454221808,16.142638716211145,0.0,252.05518847344035,592.0,2711.0,100.0
