Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
152.0,72.20030808448792,2.6340564100217483,26.933092127011744,32319710552.41409,333247035.7180004
154.0,73.6112642288208,2.685531786995079,27.459425224898563,32951310269.878273,312644196.9012537
156.0,74.99402213096619,2.735978418211557,27.975239450015923,33570287340.019104,339029560.8320341
158.0,76.6407516002655,2.7960554238263224,28.58952376100535,34307428513.20641,368470424.64058685
160.0,78.28658604621887,2.8560997766443883,29.203474198817876,35044169038.58145,336216461.41873264
162.0,79.64510178565979,2.905661990248829,29.710245299067783,35652294358.88134,330062878.1583729
164.0,81.23594927787781,2.963700274924018,30.303683792679127,36364420551.21494,340148338.3637314
166.0,82.6845862865448,3.0165503485554055,30.844073093613556,37012887712.336266,324428568.1879902
168.0,84.13496565818787,3.069463988153303,31.38511235330576,37662134823.9669,336079078.9210396
170.0,85.6877088546753,3.1261121282836646,31.964336690017024,38357204028.020424,336895823.07268906
172.0,87.14538645744324,3.1792920264749993,32.50809843021473,39009718116.25766,326210485.0860882
174.0,88.60264801979065,3.2324567464217298,33.05170497363733,39662045968.36478,326042365.6225128
176.0,90.05882334709167,3.285581837667938,33.59490631562309,40313887578.74771,357757471.4112053
178.0,91.79948353767395,3.3490856821017827,34.24422987834133,41093075854.0096,342829978.54881287
180.0,93.12227034568787,3.397344410674852,34.73767291078582,41685207492.94296,321673687.5763855
182.0,94.6738829612732,3.4539513042516843,35.31647550359595,42379770604.31514,358981880.5817337
184.0,96.33004689216614,3.5143725037444966,35.93427917939158,43121135015.2699,368023084.3888321
186.0,97.96244955062866,3.573926829762443,36.543219118225394,43851862941.87047,341585691.73975563
188.0,99.38237524032593,3.625729439251657,37.072898151857444,44487477782.22892,346151198.4294014
190.0,101.05557417869568,3.686772120450428,37.6970564463234,45236467735.58807,347498955.6843796
192.0,102.4875431060791,3.7390140988047644,38.231228004138714,45877473604.96644,327156313.8218956
194.0,103.9789650440216,3.793425078756366,38.787577492396395,46545092990.875656,319740620.5812893
196.0,105.34466910362244,3.8432495411142646,39.297030072743,47156436087.291595,333819111.4866886
198.0,106.96189308166504,3.9022501091010264,39.900307864018686,47880369436.82241,323877117.1368561
200.0,108.23875784873962,3.9488334813008796,40.376620463199174,48451944555.83902,298227919.54785156
202.0,109.62678670883179,3.9994724108736257,40.894400929178175,49073281115.01382,297722707.35251045
204.0,110.89913702011108,4.045891083897798,41.36902948770755,49642835385.24906,294411172.8179436
206.0,112.25757479667664,4.095450453212276,41.875771505238006,50250925806.28559,316210592.11128044
208.0,113.72471952438354,4.148975736926076,42.42306479474516,50907677753.69418,344565149.64463234
210.0,115.33652687072754,4.207778691996426,43.02432200405343,51629186404.86412,341552740.21816635
212.0,116.77675342559814,4.260321930237199,43.561573928805714,52273888714.56685,326596484.8130474
214.0,118.25491523742676,4.314249146045479,44.11297695343026,52935572344.11631,323664733.24063873
216.0,119.66894435882568,4.365836633273647,44.64045637294117,53568547647.5294,316978082.40961075
218.0,121.08735585212708,4.417584000911012,45.16957056146231,54203484673.75475,278334085.41379166
220.0,122.15607142448425,4.456573545118543,45.56823665765383,54681883989.18457,291602796.0113754
222.0,123.69304895401001,4.512646512410721,46.14157988150022,55369895857.800255,337770705.9818554
224.0,125.17430996894836,4.566686795268628,46.694139010926676,56032966813.11199,306597739.43779945
226.0,126.43273329734802,4.612597375467443,47.16357234629288,56596286815.55145,310019761.6249027
228.0,127.94457268714905,4.667753237558346,47.72753821634301,57273045859.6116,295545585.6465206
230.0,129.07365822792053,4.708945236388209,48.14872429844796,57778469158.137535,263102371.29704475
232.0,130.2955927848816,4.753524610601183,48.6045461206665,58325455344.79978,285195125.8359852
234.0,131.62209391593933,4.80191884741074,49.09937471790124,58919249661.481476,263950706.2191887
236.0,132.65419340133667,4.839572540828637,49.48438180806379,59381258169.67654,278440384.08747864
238.0,134.11017084121704,4.892690412623258,50.02750933152616,60033011197.83139,323992274.0333481
240.0,135.54931116104126,4.945194022163509,50.56435605484161,60677227265.80993,302540166.4456749
242.0,136.81359767913818,4.991318506884548,51.03597655301175,61243171863.61409,266626102.95807076
244.0,137.93181848526,5.03211413172784,51.45310973136853,61743731677.64221,267784475.67845535
246.0,139.20645594596863,5.078616245955725,51.92859147193994,62314309766.32791,258633851.47457695
248.0,140.24290895462036,5.116428767308553,52.315222569617106,62778267083.54052,259905113.17297173
250.0,141.52890610694885,5.1633453128501134,52.794941849183175,63353930219.0198,275798926.0817566
252.0,142.70738244056702,5.206339217211205,53.23455232322296,63881462787.867546,246811859.42230988
254.0,143.73435807228088,5.243805979021786,53.61764804725753,64341177656.70904,243115712.59327507
256.0,144.8798065185547,5.285594939516613,54.04493803186722,64853925638.24065,235935642.74305534
258.0,145.842622756958,5.320720998556022,54.40410018973438,65284920227.68126,214035287.73622894
260.0,146.79237484931946,5.355370443318623,54.75838899098797,65710066789.18556,213427485.58097267
262.0,147.74975991249084,5.39029835885542,55.11552514167096,66138630170.00515,236516283.23922348
264.0,148.905827999115,5.43247475165461,55.54677660178538,66656131922.142456,248727530.1485176
266.0,149.9723298549652,5.471383533683837,55.9446169088327,67133540290.59922,240253572.7778015
268.0,151.05267667770386,5.510797416380173,56.347621844378054,67617146213.25366,251340759.23939133
270.0,152.21825098991394,5.553320621195878,56.78241943963066,68138903327.556786,244142572.72264862
272.0,153.23427653312683,5.590387895087757,57.161430420120226,68593716504.14426,229354063.2415867
274.0,154.26770424842834,5.628090045812636,57.546932983769295,69056319580.52313,226700091.66207886
276.0,155.26001453399658,5.664292124969595,57.91709739232715,69500516870.79257,226354140.70751953
278.0,156.29035091400146,5.701881495683287,58.301446786127684,69961736143.35321,241984795.02731323
280.0,157.42233300209045,5.743179168148499,58.723713375751544,70468456050.90182,227602376.36288834
282.0,158.3241515159607,5.776079870377588,59.06012137400397,70872145648.80476,223063124.16493607
284.0,159.4155719280243,5.815897746626268,59.46725712296799,71360708547.56157,215072873.78599167
286.0,160.24599146842957,5.846193627231822,59.77703095329062,71732437143.94873,200531807.55286026
288.0,161.20747637748718,5.8812711158885005,60.135696481477524,72162835777.77301,177075473.6923027
290.0,161.82829570770264,5.903920231655512,60.367282532264966,72440739038.71794,173146798.51457977
292.0,162.75467491149902,5.937716972204253,60.71285247652611,72855422971.83133,221900882.6424179
294.0,163.8111491203308,5.97625991939694,61.10695214107301,73328342569.28761,219828245.27532578
296.0,164.719007730484,6.009380980164009,61.44561329411053,73734735952.93263,203895317.44293213
298.0,165.6331090927124,6.0427297928833354,61.78660319921612,74143923839.05934,192146485.77300262
300.0,166.43598294258118,6.072020734526008,62.08610158002054,74503321896.02464,173434770.7999916
302.0,167.1828808784485,6.099269528164134,62.364719101882784,74837662922.25931,192990765.12325668
304.0,168.16050243377686,6.13493572395619,62.72940413043139,75275284956.51767,208715204.5429535
306.0,169.04791021347046,6.167310684845136,63.060436450359276,75672523740.43112,190444319.56155777
308.0,169.86226749420166,6.197020572133258,63.36421852896993,76037062234.7639,165884469.92666626
310.0,170.53021430969238,6.22138902204123,63.61338468344816,76336061620.13779,176785793.7976761
312.0,171.44198322296143,6.2546527409113,63.953504508295524,76744205409.9546,217670787.75671005
314.0,172.47526860237122,6.292349698849916,64.33895397597053,77206744771.16463,176677600.745018
316.0,173.02073216438293,6.312249638754176,64.54242984411222,77450915812.93468,167376733.61154175
318.0,173.9709072113037,6.346914514007279,64.89687642134234,77876251705.6108,174587967.3299408
320.0,174.58080863952637,6.369165316103738,65.12438973521206,78149267682.25444,178273841.8222847
322.0,175.56391978263855,6.405031786441345,65.49112256074996,78589347072.89993,178223947.61551666
324.0,176.1733753681183,6.427266323026396,65.71846956059711,78862163472.7165,132462341.91283798
326.0,176.74757170677185,6.448214509904929,65.9326637004594,79119196440.55128,136068278.948761
328.0,177.38924908638,6.471624581963692,66.17203049042631,79406436588.51155,188534865.60014343
330.0,178.43227434158325,6.509676876090577,66.56111325245989,79873335902.95186,197839388.08461
332.0,179.15709471702576,6.5361202224792745,66.831495117375,80197794140.84999,191594287.64284515
334.0,180.14431524276733,6.572136613862144,67.19976087793604,80639713053.52324,191428569.5047226
336.0,180.86765480041504,6.598525936137813,67.4695903490574,80963508418.86888,156366896.51114655
338.0,181.54157257080078,6.623112222124778,67.72098386630653,81265180639.56783,156108273.7591324
340.0,182.26260113716125,6.649417233383291,67.98995126158786,81587941513.90541,146213158.61854935
342.0,182.84809851646423,6.670777711834425,68.20836106170171,81850033274.04202,150298240.1278839
344.0,183.60563039779663,6.698414459664981,68.49094539534747,82189134474.41695,164435857.00238037
346.0,184.317458152771,6.724383801217201,68.75648058504297,82507776702.05154,167627645.4406891
348.0,185.103511095047,6.753061072078646,69.0497042134831,82859645056.1797,158106443.3555832
350.0,185.73025965690613,6.775926501751121,69.28350206289491,83140202475.47388,130183323.96316528
352.0,186.26679825782776,6.795500835690637,69.48364862669364,83380378352.03236,122783746.28453445
354.0,186.82742595672607,6.815954003039879,69.69278121717669,83631337460.61201,152641747.00683594
356.0,187.63076853752136,6.8452620452148665,69.99245445004978,83990945340.05971,164941282.64886856
358.0,188.30130195617676,6.8697248611834105,70.24258549267292,84291102591.20749,164548505.84783554
360.0,189.1011347770691,6.898904858121261,70.54094946954255,84649139363.45105,151917640.65515137
362.0,189.65880179405212,6.91925001203699,70.74897762819009,84898773153.8281,145094060.91012955
364.0,190.3976607322693,6.946205521977962,71.02459633924296,85229515607.09157,158408850.27514648
366.0,191.0743055343628,6.970891297226688,71.27700712910725,85532408554.92868,148357648.9796791
368.0,191.72334933280945,6.994570115545338,71.5191218358419,85822946203.01028,136368871.5335312
370.0,192.29286527633667,7.015347549346618,71.731570034219,86077884041.0628,142049206.90856552
372.0,192.99266719818115,7.040878156997531,71.99261919220379,86391143030.64455,130637227.83784485
374.0,193.4602084159851,7.057935285621756,72.16702746034517,86600432952.41418,131872523.01712799
376.0,194.17104864120483,7.083868599501114,72.43219426892755,86918633122.71306,165591694.990345
378.0,194.93989634513855,7.111918178188608,72.71899977697964,87262799732.37556,153898120.48738098
380.0,195.54624557495117,7.13403938678,72.94518800388548,87534225604.66258,160011254.75442886
382.0,196.36971879005432,7.164081847238553,73.25237062616108,87902844751.39328,107297304.89928818
384.0,196.5050287246704,7.169018308177169,73.30284568688313,87963414824.25974,112554019.78183365
386.0,197.375474691391,7.20077445768743,73.62755069210053,88353060830.52061,160864499.05307388
388.0,197.94247555732727,7.221460134868471,73.83906068372671,88606872820.47203,136979822.0932846
390.0,198.59949374198914,7.245429879689841,74.08415009907814,88900980118.89375,136550038.19877243
392.0,199.16265416145325,7.265975447321271,74.29422747772261,89153072973.26712,106315269.511837
394.0,199.54950165748596,7.280088657550699,74.43853433078425,89326241196.9411,114667239.54919815
396.0,200.18729329109192,7.3033569674143095,74.67645160955327,89611741931.46391,116085195.5517807
398.0,200.5868113040924,7.31793243130058,74.82548498262352,89790581979.14822,75221253.21261215
400.0,200.8594524860382,7.32787909596162,74.92718912026197,89912626944.31436,107884882.55789948
402.0,201.55084490776062,7.353102903014456,75.18510125781651,90222121509.37982,153533412.51283264
404.0,202.2313904762268,7.377930988440804,75.43896716197142,90526760594.36569,140642403.72867203
406.0,202.80759191513062,7.398952326630003,75.65390927024544,90784691124.29451,124319794.13694763
408.0,203.34228253364563,7.418459241329449,75.85336647576125,91024039770.91348,130796302.30885696
410.0,203.97635650634766,7.44159192118269,76.0898969446083,91307876333.52994,98648824.5304451
412.0,204.22378492355347,7.4506187581263745,76.18219589086274,91418635069.03526,85844130.05585861
414.0,204.74343919754028,7.4695771075809,76.37604404479448,91651252853.75337,127128864.65976715
416.0,205.35977816581726,7.492062768005457,76.60595877306194,91927150527.67433,94732796.33347702
418.0,205.58994889259338,7.500459999185614,76.69182003257275,92030184039.08728,68900884.55837631
420.0,205.97546005249023,7.514524456371488,76.83562838825652,92202754065.90784,114957292.98334503
422.0,206.61717987060547,7.537936076698184,77.0750110091839,92490013211.02066,137848594.9632187
424.0,207.2072422504425,7.559463098329498,77.2951237048006,92754148445.76071,112192566.93735123
426.0,207.61970591545105,7.57451085351976,77.44898623230839,92938783478.77007,122625899.15765381
428.0,208.3029980659485,7.5994391414548925,77.70387670199278,93244652042.39133,126712554.86922836
430.0,208.75197911262512,7.615819146407128,77.87136141520583,93445633698.24698,100350670.56515884
432.0,209.19970774650574,7.6321534600591345,78.03837893720997,93646054724.65196,119440967.83758926
434.0,209.81927514076233,7.654756901922184,78.26949797466446,93923397569.59734,121271204.74022675
436.0,210.283358335495,7.671687872804448,78.44261628634406,94131139543.61287,128566538.2125206
