SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
70476.10937114706,13.179395905471807,1.140620770745734,30.771895363316787,587.2237110663061,5.457952404527624,76.73112408493955,0.3439968927443928,0.9590253058645146,13.073310980563498,0.0,0.0,401.0,2097.0,100.0
63672.80482470033,11.426226278999096,5.2171326357422885,33.42574166591473,681.8166672842194,4.932086080681657,85.36194618320707,1.4381170279212796,1.1089689420660704,11.385147532204527,0.020169579724449882,73.49028649778063,401.0,2097.0,100.0
43415.90411457265,5.383967420925664,1.9164259883908485,20.6547105225157,559.6616243525441,7.022853109827629,85.86463004620981,0.7634397984603396,0.3232156815797964,88.33935347944157,0.003536384970533213,314.92525184088765,401.0,2097.0,100.0
159468.45155474968,9.06400369668193,0.6611659168209414,25.26886280719799,670.3196629524118,8.38794990746139,112.6112392393166,0.09354694741480785,1.2396287467300056,21.05385677351306,0.09622311879094969,281.22074646681745,401.0,2097.0,100.0
318860.9963943978,9.405617249956975,0.49257426817028005,27.964633308098655,700.1036604260839,4.423189226658955,83.44882039096228,0.08764660801341506,0.8696373524281,4.139724945082953,3.220534949832654e-12,275.67022817845884,401.0,2097.0,100.0
320401.18665994785,9.516994499830226,0.13727846751025652,27.567314635525094,742.0946435421702,4.759311110938427,68.96838035116969,0.0,3.4250529666752243,0.6759777511004188,0.002377364285843342,309.1174404428705,401.0,2097.0,100.0
13019.501430526398,14.632783289848447,1.6681473751222953,47.39975963159279,540.8806732181122,0.7047123565717612,105.58495580222177,0.48533191272693443,2.4168269744143345,51.61553846644742,6.909335236660041e-05,308.8227091997294,401.0,2097.0,100.0
41776.40782706866,13.121952689700734,1.92526049518969,40.82170071933669,554.235507799468,3.724500912085304,141.03966738428977,0.4673425074019377,2.2195984953451386,55.978164157056426,0.0,257.76280656680467,401.0,2097.0,100.0
61663.180900598876,9.090840040857053,0.8361721372172468,35.77129803674049,646.528144973556,4.78167316538098,88.27814657655136,0.23660862320422638,1.1635237522419573,41.34383377394546,0.28214896294467984,306.9136549040445,401.0,2097.0,100.0
20989.736471089513,12.69685284365827,1.3007090275087876,50.12737522823929,639.4352242383393,0.0,98.61367316653173,0.4869365970554185,1.7659742475619282,33.83958589306094,0.364074953895269,111.32553404435737,401.0,2097.0,100.0
