Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
124.0,52.62457036972046,1.9198822080481417,24.5509233765747,29461108051.88964,433612201.7181339
126.0,54.183156967163086,1.9767435307555692,25.278050265416496,30333660318.499783,434701559.63512516
128.0,55.73049330711365,2.033194414593031,25.99992857535846,31199914290.43014,417957528.4799166
130.0,57.16944456100464,2.0856911265126676,26.671242027016227,32005490432.41945,407265763.82578754
132.0,58.64038872718811,2.139355023696953,27.357481121444422,32828977345.73329,449186956.67505264
134.0,60.378865003585815,2.202779193219298,28.168531882599723,33802238259.11966,453320583.78658104
136.0,61.87934374809265,2.2575205892039882,28.868549734066356,34642259680.879616,409666549.0384846
138.0,63.3059139251709,2.3095656070019963,29.534087046061344,35440904455.2736,408650101.9543247
140.0,64.79913020133972,2.364042049113416,30.230716740580775,36276860088.696915,444060040.4280987
142.0,66.4787027835846,2.4253172575402537,31.01428718082166,37217144616.98599,429225138.5538082
144.0,67.86592435836792,2.475926735229775,31.6614672024268,37993760642.91215,438304622.79149246
146.0,69.61036944389343,2.539568662547903,32.47530259012664,38970363108.15196,466779689.9457035
148.0,71.2010440826416,2.597600641075622,33.217399502245804,39860879402.69496,417218709.83015823
150.0,72.5913782119751,2.6483236729102977,33.866031622893836,40639237947.472595,412369155.06718254
152.0,74.14740300178528,2.7050915341631336,34.59196335246974,41510356022.96369,433679306.3793793
154.0,75.68999719619751,2.7613694121065224,35.31162931082512,42373955172.99011,420248630.43974686
156.0,77.15006041526794,2.8146363438310944,35.99279212060224,43191350544.72268,391428763.4522934
158.0,78.48673796653748,2.8634018431130865,36.61639185566607,43939670226.799286,421659596.8724499
160.0,80.16279911994934,2.9245489454158466,37.39832411017708,44877988932.21248,445458727.1415844
162.0,81.6695203781128,2.97951808465466,38.10125427947137,45721505135.36562,420989885.0120659
164.0,83.17075276374817,3.034286975442325,38.80162372688395,46561948472.26074,389573357.94293785
166.0,84.45300436019897,3.0810668732917854,39.39983213928115,47279798567.137375,413479602.067173
168.0,86.12504577636719,3.142067325047835,40.17988906710786,48215866880.529434,412399353.8331814
170.0,87.39957904815674,3.188565638190968,40.774496652058424,48929395982.4701,395490013.6318226
172.0,88.95080399513245,3.2451583886011965,41.49818911254727,49797826935.056725,426839035.61408615
174.0,90.44932460784912,3.2998283468077068,42.19729343743871,50636752124.926445,381126579.5639782
176.0,91.67393612861633,3.344505383674207,42.768611044427196,51322333253.31264,406949594.4248371
178.0,93.3569610118866,3.4059065410877807,43.553792085521486,52264550502.62579,424824294.07416916
180.0,94.70928645133972,3.4552429163295404,44.18469202467444,53021630429.609314,368074339.2102184
182.0,95.98683547973633,3.5018512521752445,44.78070654955555,53736847859.46667,412542138.93784523
184.0,97.65688133239746,3.5627789005460055,45.559832487800584,54671798985.360695,417314244.7108898
186.0,98.96852684020996,3.6106311652965495,46.1717540319252,55406104838.31023,372267229.31448174
188.0,100.31671380996704,3.659816558320647,46.80072325218219,56160867902.61862,399307971.87443733
190.0,101.82156419754028,3.714717443298486,47.50278060483999,57003336725.807976,395820298.03611183
192.0,103.14483189582825,3.762993716008727,48.1201242456359,57744149094.76307,365806562.0431404
194.0,104.4352355003357,3.8100710204710646,48.72213581165045,58466562973.98054,410781434.08916855
196.0,106.07984662055969,3.8700707431613033,49.48939569259978,59387274831.11974,410368061.3673725
198.0,107.36729669570923,3.91704029513416,50.0900293495417,60108035219.45003,339701914.4916172
200.0,108.5070013999939,3.958619708872118,50.621735407571855,60746082489.08621,334500952.8725548
202.0,109.75729084014893,4.004233543516272,51.20503252578353,61446039030.94025,357044448.483284
204.0,111.0580677986145,4.051689295110094,51.81188356918279,62174260283.01935,350847594.96222687
206.0,112.26408100128174,4.0956878166030934,52.37452450899098,62849429410.789154,336252848.3574524
208.0,113.46057915687561,4.1393392042486035,52.93272639704097,63519271676.44916,346992931.03718376
210.0,114.74332976341248,4.1861373072934525,53.531167612448236,64237401134.93789,337871602.32152367
212.0,115.87465643882751,4.227411068587081,54.058965071446046,64870758085.73525,332314862.53328705
214.0,117.11770439147949,4.272760714793796,54.638883820892524,65566660585.07104,332805851.0890217
216.0,118.25253915786743,4.314162460437619,55.168317908409456,66201981490.09134,316774177.1234226
218.0,119.38104152679443,4.355333183630635,55.69479774463729,66833757293.56473,317217147.97278214
220.0,120.51904129981995,4.396850397009191,56.225708401652064,67470850081.98247,334630056.76831245
222.0,121.77195811271667,4.442560085094908,56.810231267198326,68172277520.63798,351545136.4036522
224.0,123.0308153629303,4.488486495898409,57.397525522997576,68877030627.59708,298787558.5114765
226.0,123.9067816734314,4.520444042013566,57.8061897955699,69367427754.68388,251175249.70746613
228.0,124.82545113563538,4.553959510988823,58.2347763553558,69881731626.42694,290136362.85017014
230.0,125.97979283332825,4.5960729205965105,58.773311005070475,70527973206.08456,300164889.1915474
232.0,126.9701156616211,4.632202492104753,59.23532598599429,71082391183.19313,295788337.19992065
234.0,128.09318709373474,4.67317508049329,59.759272129070204,71711126554.88425,285208691.7212219
236.0,129.00791883468628,4.706546891080084,60.18602162506502,72223225950.07802,272746278.3153496
238.0,130.04194688796997,4.744270943707491,60.66842639012139,72802111668.14565,287877094.7276497
240.0,131.06478762626648,4.781586853772425,61.14561194082386,73374734328.98862,277350305.4316559
242.0,132.02360224723816,4.816566923323342,61.59292740822689,73911512889.87227,282276775.28372955
244.0,133.08164238929749,4.85516699986305,62.08653452510294,74503841430.12354,256689177.3224678
246.0,133.85763478279114,4.883477235545399,62.44855799930179,74938269599.16214,293372702.87023926
248.0,135.17777705192566,4.9316394844112255,63.064443534670396,75677332241.60449,337378511.53125
250.0,136.26818895339966,4.9714205675512115,63.57315303773928,76287783645.28714,263754420.55226898
252.0,137.06229043006897,5.000391470035185,63.94362493651132,76732349923.81357,213976810.17277145
254.0,137.79704356193542,5.027197189402914,64.28640907164854,77143690885.97823,239579657.67664337
256.0,138.7740762233734,5.062841900802896,64.74222379543346,77690668554.52014,249330855.90283966
258.0,139.57850122451782,5.092189432508254,65.117511924658,78141014309.58958,240292915.82390976
260.0,140.49095821380615,5.125478254194328,65.54320018151316,78651840217.81578,237400341.20421982
262.0,141.27471590042114,5.1540717881154885,65.90884639533871,79090615674.40646,243191797.14721298
264.0,142.22855257987976,5.188870249317368,66.35383950533719,79624607406.40463,232316804.40014267
266.0,142.93460893630981,5.214629035129125,66.6832357433392,80019882892.00703,243334815.83348846
268.0,143.9671688079834,5.252299524644632,67.16495555811551,80597946669.73859,253888700.59688187
270.0,144.7486321926117,5.280809356418046,67.52953141199546,81035437694.39456,269582415.3336868
272.0,145.8933229446411,5.322570674241613,68.0635636092278,81676276331.07333,258657469.48970795
274.0,146.59672808647156,5.348232736798362,68.39172297696115,82070067572.3534,231648994.5614891
276.0,147.54844450950623,5.38295384549064,68.83572692443272,82602872309.31929,235920701.77656174
278.0,148.28237080574036,5.40972939972812,69.17812531621635,83013750379.45964,235631561.1054039
280.0,149.2320213317871,5.444375139085449,69.62116546145074,83545398553.7409,245706336.6066513
282.0,150.03793144226074,5.473776851470254,69.99714643823856,83996575725.88625,257727013.8088417
284.0,151.0734691619873,5.511555980684954,70.48025550748022,84576306608.97627,240558631.59592056
286.0,151.75671195983887,5.536482468106256,70.79900854355827,84958810252.26993,244024582.34400558
288.0,152.81701374053955,5.575165055149291,71.29367078196023,85552404938.3523,230813940.28614807
290.0,153.40586709976196,5.596647968540846,71.5683883445121,85882066013.41452,176541618.98639297
292.0,154.07839560508728,5.6211835704984106,71.88214284524824,86258571414.29787,203084398.91094208
294.0,154.8568959236145,5.649585301856965,72.24533634088192,86694403609.05829,245791827.4779129
296.0,155.83456707000732,5.685253306860987,72.70144893684127,87241738724.20952,218015135.98518753
298.0,156.41460418701172,5.706414580637104,72.97205346083254,87566464152.99904,210120177.4883957
