Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
78.0,12.598684549331665,0.4596330220111473,5.969260026118796,7163112031.342555,129420988.30225062
80.0,13.257459878921509,0.48366687208336234,6.281387949134576,7537665538.961491,208052609.40767813
82.0,14.062399864196777,0.513033191759118,6.662768724144392,7995322468.973268,202911876.39647508
84.0,14.685008525848389,0.5357475870251243,6.9577608704561555,8349313044.547391,200162644.61714435
86.0,15.470606803894043,0.5644082705441851,7.329977539534873,8795973047.441845,204203447.6947677
88.0,16.121643781661987,0.5881598052667814,7.638439029438722,9166126835.326462,209678290.7350912
90.0,16.945759296417236,0.6182256984995251,8.028905175318513,9634686210.38221,231801024.2111168
92.0,17.752436637878418,0.6476554014809679,8.41110911014244,10093330932.170929,211905600.55900097
94.0,18.4365816116333,0.6726148026430021,8.735257177181843,10482308612.618214,237356082.12505007
96.0,19.422311067581177,0.7085767958930642,9.202296050559276,11042755260.67113,233336357.9031067
98.0,20.078176021575928,0.7325044678381327,9.51304503685887,11415654044.23064,218490472.4058838
100.0,20.959460020065308,0.7646560171439076,9.930597625245554,11916717150.294664,264613685.8437395
102.0,21.93981623649597,0.8004219805380259,10.395090656337999,12474108787.605598,202514190.91197157
104.0,22.38421082496643,0.8166346594779803,10.605644928285464,12726773913.94255,119714751.37349463
106.0,22.782047033309937,0.8311487667238895,10.794139827582981,12952967793.099577,247635447.03965616
108.0,24.12640380859375,0.8801944242181587,11.431096418417646,13717315702.101175,341794356.4575558
110.0,25.1866774559021,0.9188759848813288,11.933454349108167,14320145218.9298,324566492.4912329
112.0,26.409830808639526,0.9634998239575752,12.512984726721754,15015581672.066107,285054855.30262613
114.0,27.19212770462036,0.9920400644090028,12.883637200116922,15460364640.140305,261542577.90490198
116.0,28.24986481666565,1.0306290856198332,13.384793319738094,16061751983.685715,254373055.86810303
118.0,28.981721878051758,1.0573291487484826,13.731547386343934,16477856863.612717,222004066.86974764
120.0,29.81173300743103,1.0876101294497351,14.124806875970592,16949768251.164705,233702797.8812847
122.0,30.62589430809021,1.117312866871346,14.510556712614886,17412668055.137856,233837539.8912034
124.0,31.45685338973999,1.1476284313551441,14.904265342274599,17885118410.72952,206604539.46708393
126.0,32.07942199707031,1.170341365334564,15.19923851083849,18239086213.00619,175925078.36220837
128.0,32.694541454315186,1.1927825348014442,15.490682270148632,18588818724.178352,240759029.5410328
130.0,33.773237228393555,1.2321361829167623,16.0017686093086,19202122331.170322,226039752.73321056
132.0,34.284801959991455,1.250799404669635,16.24414811259266,19492977735.111195,161451665.0558834
134.0,34.90910029411316,1.273575443614439,16.539940826161555,19847928991.393856,206131790.21196175
136.0,35.73500370979309,1.303706564157372,16.931254079965875,20317504895.95904,211577556.63143444
138.0,36.39761471748352,1.3278803498165073,17.245199348266333,20694239217.919594,176565543.4641819
140.0,36.97719764709473,1.3490250536465118,17.519805891513144,21023767069.81577,184648539.0616808
142.0,37.696675062179565,1.3752734748423388,17.860694478471935,21432833374.166317,216597780.9436245
144.0,38.501030921936035,1.4046184840887088,18.24179849465856,21890158193.590267,217401454.67733192
146.0,39.22616243362427,1.4310731815428537,18.585365994063032,22302439192.875645,192686089.73078537
148.0,39.856637954711914,1.4540745804529438,18.884085460427848,22660902552.51341,184393932.24062347
150.0,40.52343153953552,1.478400957484614,19.200012434865116,23040014921.83814,196541758.10011005
152.0,41.239370822906494,1.5045202983653052,19.539224654094873,23447069584.91385,202594812.4516096
154.0,41.94874954223633,1.5304002926805271,19.875328476370477,23850394171.644577,184464726.0179701
156.0,42.53713798522949,1.5518662447099176,20.15410707415478,24184928488.98573,160954041.39550877
158.0,43.081111669540405,1.571711829972041,20.411841947688835,24494210337.226612,201750370.4488039
160.0,43.956515073776245,1.6036488397917772,20.826608308984113,24991929970.780945,208111033.76006985
162.0,44.54523801803589,1.6251269953037921,21.105545393555737,25326654472.26689,178866561.50528812
164.0,45.2148973941803,1.649557923911468,21.422830180668427,25707396216.802097,198672315.2986908
166.0,45.942960023880005,1.6761195562304563,21.767786444551376,26121343733.461655,192328121.9614792
168.0,46.56798601150513,1.6989221418815807,22.063923920540013,26476708704.648014,214175542.537961
170.0,47.44975209236145,1.7310912788151995,22.481704919677917,26978045903.6135,191544137.64119244
172.0,47.91555905342102,1.748085137209487,22.70240437934398,27242885255.212784,165191162.4971428
174.0,48.611923694610596,1.7734903438561327,23.032342128001723,27638810553.60207,162984423.19637585
176.0,49.06220555305481,1.78991780582989,23.245685789998575,27894822947.998287,209485531.03880978
178.0,50.08572006225586,1.8272582968227606,23.73062723146443,28476752677.75731,232105786.50869942
180.0,50.6951425075531,1.8494916243671229,24.019371745027577,28823246094.033085,169095495.2342329
182.0,51.275359869003296,1.8706594739328803,24.2942788822452,29153134658.69424,191080470.59398365
184.0,52.03945350646973,1.8985356118195789,24.65630664700752,29587567976.40902,200709983.19918537
186.0,52.68741750717163,1.9221750362873378,24.963312159575814,29955974591.490982,195199760.21460533
188.0,53.412744998931885,1.9486368836079944,25.306972514389535,30368367017.26744,208754514.96840096
190.0,54.156070947647095,1.975755361795894,25.659160542803825,30790992651.364586,216737945.16722393
192.0,54.93756437301636,2.0042662895342485,26.029432331613613,31235318797.936337,215727041.20448208
194.0,55.67377829551697,2.031125302371711,26.378250680152085,31653900816.182514,207510455.8174715
196.0,56.397465467453,2.0575273065273993,26.72113385100519,32065360621.206223,201149318.06250572
198.0,57.088926792144775,2.082753627341088,27.048748407027112,32458498088.432537,166023235.07498646
200.0,57.56549096107483,2.1001399368633127,27.27454463458848,32729453561.50617,150735574.71828938
202.0,58.14939880371094,2.1214424248521153,27.551200322754745,33061440387.305695,198149105.567523
204.0,58.959532022476196,2.15099820729231,27.93504165314689,33522049983.77626,205645451.5338049
206.0,59.59617900848389,2.1742247574124587,28.236685161200768,33884022193.440914,189054392.67522717
208.0,60.289588928222656,2.1995221680789516,28.56522296206431,34278267554.47717,198464508.95945072
210.0,60.99243903160095,2.225163981378718,28.89823352439894,34677880229.27872,179380079.02950764
212.0,61.551584005355835,2.2455630550298586,29.163156558829343,34995787870.5952,179341445.75704575
214.0,62.254162311553955,2.2711949524563595,29.496038343589085,35395246012.3069,205312561.50276375
216.0,62.99602222442627,2.298259945815568,29.847531763838546,35817038116.606255,204977536.47508812
218.0,63.69624352455139,2.3238058534849655,30.17929679850605,36215156158.20725,143610616.50016212
220.0,64.00636792182922,2.3351200040506095,30.326233818839086,36391480582.6069,162007679.17980957
222.0,64.83601832389832,2.3653878244744497,30.719322395772068,36863186874.92649,223544924.44192123
224.0,65.5790765285492,2.3924965346573694,31.071383566978824,37285660280.37459,197847359.3762951
226.0,66.22793650627136,2.4161686467143655,31.378813593693074,37654576312.43167,154890752.61569786
228.0,66.66878151893616,2.4322518278287317,31.58768607569781,37905223290.83738,177066589.89693642
230.0,67.47365546226501,2.461615738121246,31.969035560016188,38362842672.01942,182317902.17835236
232.0,67.95144510269165,2.479046756054509,32.195412416292335,38634494899.55079,189165819.16632843
234.0,68.80449628829956,2.5101682983739373,32.599588290570615,39119505948.68473,202042627.7660923
236.0,69.37287831306458,2.5309043638478057,32.868887842179284,39442665410.61516,158336501.63090515
238.0,69.91844320297241,2.5508080004592024,33.1273766293403,39752851955.20835,169598100.55342293
240.0,70.56605410575867,2.5744345429898514,33.43421484402405,40121057812.82885,190030458.91508484
242.0,71.25536704063416,2.599582484914074,33.760811492390566,40512973790.86869,179098700.02841187
244.0,71.82606959342957,2.620403209330477,34.03121051078542,40837452612.9425,173695226.87563515
246.0,72.47736740112305,2.644164259812154,34.33979558197603,41207754698.37123,207372833.25653648
248.0,73.28500247001648,2.6736289031996545,34.722453288307214,41666943945.96864,206577191.17684174
250.0,73.93070268630981,2.6971857388808766,35.02838621923217,42034063463.0786,146812738.6770153
252.0,74.31787610054016,2.711310839460088,35.21182908389725,42254194900.676704,171456598.1806717
254.0,75.13695359230042,2.7411929324139157,35.59990821316773,42719889855.801285,193917440.56840324
256.0,75.6821460723877,2.761082982539312,35.85822055245861,43029864662.95032,143410299.59356308
258.0,76.1458899974823,2.7780015759762637,36.07794254514628,43293531054.17554,142471612.7392578
260.0,76.68447852134705,2.7976506964757215,36.33312592825613,43599751113.90735,152573501.8223877
262.0,77.21929240226746,2.8171621081106766,36.58652088455424,43903825061.46509,162992082.0731945
264.0,77.83117890357971,2.839485330874508,36.87643286850011,44251719442.20013,157308416.02856636
266.0,78.3260064125061,2.857537934891342,37.11088227131612,44533058725.57935,158567216.822937
268.0,78.94674897193909,2.880184249859062,37.404990257909894,44885988309.491875,173291068.62355042
270.0,79.54516339302063,2.9020159758380535,37.688519166727964,45226223000.073555,178132935.9945488
272.0,80.19997000694275,2.9259050367643296,37.998766711225066,45598520053.47007,177100309.2882557
274.0,80.79111957550049,2.9474717218887054,38.27885353102214,45934624237.22658,154497235.4579563
276.0,81.28690648078918,2.9655593271985383,38.51375749608493,46216508995.301895,163397528.10102844
278.0,81.94067239761353,2.9894104207679693,38.823511958025584,46588214349.63069,162079794.62173843
280.0,82.42718863487244,3.007159807818118,39.05402347815737,46864828173.78885,176007597.67663574
282.0,83.17894101142883,3.034585704171639,39.41020395028104,47292244740.337234,212497367.40437126
284.0,83.92217421531677,3.06170079878524,39.76234803617195,47714817643.406334,157511613.48617744
286.0,84.28708457946777,3.075013684966425,39.93524266190162,47922291194.281944,139766368.6683979
288.0,84.90547442436218,3.0975741667434615,40.22823593173326,48273883118.079926,140060083.20561028
290.0,85.27245116233826,3.1109624396558644,40.40210960592032,48482531527.104385,161615992.0191822
292.0,86.04249358177185,3.139055604695052,40.76695590513055,48920347086.156654,179464462.2298832
294.0,86.5350399017334,3.1570249849615344,41.000324480019934,49200389376.02392,155365433.5344429
296.0,87.13553810119629,3.178932732635559,41.284840683578686,49541808820.294426,159121197.61673355
298.0,87.65450739860535,3.1978660923498294,41.530728472075715,49836874166.49085,161002163.54190826
300.0,88.26823878288269,3.220256621277982,41.82151456205171,50185817474.46206,160576587.54579735
302.0,88.78421401977539,3.2390807498199177,42.06598376389504,50479180516.67404,178167570.3844223
304.0,89.5217034816742,3.2659862976766503,42.415406463333106,50898487755.99975,171695345.02671432
306.0,89.99214458465576,3.283149221710108,42.638301580650754,51165961896.7809,154626928.0313835
308.0,90.60955238342285,3.3056738758713724,42.930829556771066,51516995468.12528,142430573.35947418
310.0,90.99418830871582,3.319706402205706,43.113070158515676,51735684190.218796,128766154.33403015
312.0,91.51546263694763,3.3387238554837735,43.360050071217834,52032060085.4614,189206417.99124718
314.0,92.32531476020813,3.36826938282346,43.743758218486484,52492509862.183784,169384397.55681038
316.0,92.70713496208191,3.3821991841900214,43.924664729740535,52709597675.688644,170382898.20576096
318.0,93.52401185035706,3.4120009933629385,44.31170121250569,53174041455.00683,159877054.20355797
320.0,93.83192014694214,3.4232342947689345,44.457588243752404,53349105892.50288,141035336.11341476
322.0,94.51623964309692,3.4482000629653813,44.78181899955042,53738182799.46049,187267908.8234043
324.0,95.14940857887268,3.471299724700275,45.08181460649707,54098177527.79649,157535437.33753204
326.0,95.62455081939697,3.488634158548681,45.30693712400885,54368324548.810616,132267481.03944397
328.0,96.07995176315308,3.5052483781670656,45.5227062099619,54627247451.95427,138418440.23668098
330.0,96.59836792945862,3.5241615582094292,45.768331924797785,54921998309.75734,147420704.38575172
332.0,97.11710262298584,3.5430863589594086,46.014108557914405,55216930269.49728,183820872.0324459
334.0,97.89160537719727,3.571342248697757,46.38106816490595,55657281797.88712,173547640.9970646
336.0,98.33806467056274,3.587630253481988,46.59260069457128,55911120833.485535,192643932.01943016
338.0,99.24691581726074,3.6207875245827443,47.02321460497071,56427857525.96484,161237352.06023026
340.0,99.47241997718811,3.6290145071774473,47.130058534772054,56556070241.726456,121256795.05491257
