Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
66.0,8.688080549240112,0.3169639419645076,3.502363999607816,4202836799.5293827,125576793.08243322
68.0,9.197405338287354,0.33554544474428694,3.7076844723125646,4449221366.775075,135991602.8726399
70.0,9.812564849853516,0.357988075497754,3.955669342516618,4746803211.019942,181974237.74439764
72.0,10.702109813690186,0.39044100646384683,4.314265264793885,5177118317.7526655,98228647.38240385
74.0,10.62479567527771,0.38762038412477917,4.283098167124635,5139717800.549558,70822257.82079959
76.0,11.287723302841187,0.41180572090645473,4.5503394575298834,5460407349.035864,148613883.8501191
78.0,11.85365080833435,0.43245223908623176,4.778477779958365,5734173335.950034,185432510.2757852
80.0,12.82102346420288,0.4677445281729833,5.168447825115841,6202137390.139005,195006157.603755
82.0,13.466113328933716,0.4912790966300311,5.42849830530421,6514197966.365054,189503727.36625957
84.0,14.387987613677979,0.5249114859284716,5.800126916336705,6960152299.604043,223486281.40356684
86.0,15.314071655273438,0.5586974581867739,6.173452576649439,7408143091.9793215,233839560.30238628
88.0,16.3215548992157,0.5954530866196914,6.57959211734466,7895510540.813588,244631109.84275627
90.0,17.3368718624115,0.6324945096560053,6.988889609458621,8386667531.350347,252155928.42225432
92.0,18.40657615661621,0.6715201250270715,7.420111878752177,8904134254.502605,277852197.4739616
94.0,19.63436985015869,0.7163132558939838,7.915063601038494,9498076321.246193,274142611.3299575
96.0,20.673400402069092,0.7542198127782753,8.333920583185371,10000704699.822435,274135547.0992222
98.0,21.901135683059692,0.799010812602249,8.8288487580359,10594618509.643082,301604995.7327409
100.0,23.16730499267578,0.8452039864909855,9.339270568961172,11207124682.753399,314991972.4789438
102.0,24.50573420524597,0.8940333909667304,9.878821999632383,11854586399.558857,318019817.1065755
104.0,25.796940088272095,0.9411399646514691,10.399336625983086,12479203951.1797,251182448.59330177
106.0,26.582705974578857,0.9698067629590432,10.716096828276715,12859316193.932064,325446918.6331639
108.0,28.487988233566284,1.0393164517724736,11.48415968809363,13780991625.712357,438001451.1105132
110.0,30.204442501068115,1.1019372007107147,12.176101665311766,14611321998.374117,393470068.73418903
112.0,31.741504669189453,1.1580132558406206,12.79572658387426,15354871900.649113,388658347.2610626
114.0,33.418171882629395,1.2191824688011352,13.471629489515312,16165955387.418367,373910021.1681328
116.0,34.83328342437744,1.270809445559674,14.042093321101373,16850511985.321644,335369683.1274438
118.0,36.19126915931702,1.3203523232112473,14.589528433273454,17507434119.928143,321218933.28755
120.0,37.48937129974365,1.3677104904347517,15.11282309872654,18135387718.471844,344939236.0849447
122.0,39.04349493980408,1.424408992763539,15.73932588688994,18887191064.26792,363084707.48820496
124.0,40.49163794517517,1.47724104386036,16.323105457020556,19587726548.424664,333133291.8445463
126.0,41.798099994659424,1.524904202469977,16.84977019303842,20219724231.646107,321319620.20072937
128.0,43.148558378219604,1.5741724626209135,17.394170857689648,20873005029.22758,361319139.9754305
130.0,44.785767555236816,1.633902143029232,18.054167326289853,21665000791.54783,383729273.0569382
132.0,46.32153034210205,1.6899307933264232,18.673268434546113,22407922121.455334,357062724.705307
134.0,47.738239765167236,1.7416160649819998,19.244376408640886,23093251690.369057,374074372.65871525
136.0,49.41466808319092,1.8027765624118022,19.920183010075167,23904219612.090195,415765732.4441862
138.0,51.176114082336426,1.8670387276026625,20.630262183454835,24756314620.1458,390518777.3008537
140.0,52.64378094673157,1.9205830602308929,21.221912267744674,25466294721.29361,387604508.2032938
142.0,54.38112950325012,1.9839660875773228,21.922277210799148,26306732652.958977,414372262.47280884
144.0,56.07013297080994,2.0455853594101905,22.60315314265404,27123783771.184845,431944925.68099594
146.0,57.95278596878052,2.11426947349109,23.362093629735806,28034512355.68296,448928432.04584503
148.0,59.782222270965576,2.1810121030773537,24.099581249473513,28919497499.368225,449659479.00939274
150.0,61.6709201335907,2.249916749658923,24.86095855976711,29833150271.72053,445330114.7443218
152.0,63.46455788612366,2.3153533543585576,25.58401496528793,30700817958.345512,413826990.3608093
154.0,65.09276342391968,2.3747545584177674,26.2403818609698,31488458233.16377,441492247.9368763
156.0,67.115159034729,2.4485368491528483,27.055655791744176,32466786950.093018,461118237.93433
158.0,68.90564751625061,2.513858560194624,27.777442654084243,33332931184.90109,447346419.19781494
160.0,70.81416702270508,2.5834863522775224,28.546810522403565,34256172626.884277,447558893.95818424
162.0,72.60641241073608,2.6488721598720097,29.269305633944857,35123166760.733826,462616287.3541908
164.0,74.63943815231323,2.7230422656293705,30.0888648135842,36106637776.30104,497359875.2936783
166.0,76.71897053718567,2.798909055585602,30.927171884923784,37112606261.90854,454619635.8287487
168.0,78.39858675003052,2.860185855771043,31.604263599680035,37925116319.616035,429955955.47541046
170.0,80.27418065071106,2.9286124354873513,32.360358403175155,38832430083.81018,475404967.00748634
172.0,82.3296046257019,3.003599687484968,33.18894682303832,39826736187.64598,477584008.2702522
174.0,84.22321653366089,3.0726836113155436,33.95230509740932,40742766116.89119,468351923.70674324
176.0,86.2023024559021,3.144885851136502,34.7501199020608,41700143882.47295,491579575.70271873
178.0,88.2879786491394,3.2209767833191973,35.590903683085045,42709084419.702065,494314096.1700554
180.0,90.28967571258545,3.2940039368144687,36.397833555960986,43677400267.153175,479575631.1665611
182.0,92.25348281860352,3.3656487653877765,37.18948912030692,44627386944.36831,498464115.47522354
184.0,94.41136455535889,3.4443739449828277,38.05938060754505,45671256729.05407,496986855.0772438
186.0,96.36295652389526,3.515573133336079,38.84611197056441,46615334364.677284,513448675.21066856
188.0,98.6569573879242,3.5992642953380463,39.77087619158061,47725051429.89674,546183801.4344597
190.0,100.87922883033752,3.6803385801021404,40.666724642012596,48800069570.41512,521700129.21370316
192.0,102.97077965736389,3.7566438343175133,41.509876622292964,49811851946.75156,506881189.6470127
194.0,105.07051658630371,3.833247738978989,42.35632860750265,50827594329.003174,510688694.6790886
196.0,107.19355082511902,3.910701590545705,43.21217227122325,51854606725.46791,530368286.3293495
198.0,109.45601391792297,3.9932421720216764,44.12422289526714,52949067474.32057,523834276.5693035
200.0,111.5250198841095,4.068724930644112,44.95828652645426,53949943831.745125,503742998.8519325
202.0,113.6213526725769,4.1452046433420096,45.80336622477358,54964039469.7283,518824900.8035526
204.0,115.81506752967834,4.225237109053183,46.687702862466125,56025243434.959335,510441648.4385109
206.0,117.84208106994629,4.299187873954294,47.50483838623528,57005806063.482346,501833580.53450966
208.0,119.96461772918701,4.3766235725144265,48.3604814642478,58032577757.097374,516172123.5775852
210.0,122.11019349098206,4.4548997979001985,49.22541213149391,59070494557.79269,530969409.11455345
212.0,124.35508561134338,4.536799344263984,50.13037949462965,60156455393.55559,513954618.2993088
214.0,126.35996985435486,4.60994277442049,50.93859419249161,61126313030.98992,509953726.34664536
216.0,128.5717794895172,4.690635385045222,51.83022524911847,62196270298.94217,545816980.440918
218.0,130.8732089996338,4.7745975635201665,52.75798412729465,63309580952.75359,526406608.0656681
220.0,132.92451858520508,4.849434711811698,53.584913942670696,64301896731.20484,522311747.4274273
222.0,135.1920886039734,4.932161607327441,54.49902328538609,65398827942.4633,553306996.8714466
224.0,137.49969100952148,5.016348989201251,55.42927059890884,66515124718.69063,538216762.0109138
226.0,139.64248323440552,5.0945236638674,56.2930791587558,67551694990.50696,519556553.27259254
228.0,141.79578852653503,5.173081882771816,57.16112577648417,68593350931.781,534486531.0130081
230.0,144.0620334148407,5.255760434056324,58.074700928799146,69689641114.55899,549871964.2174969
232.0,146.34255743026733,5.338959925310761,58.99403232387583,70792838788.65099,554103005.92416
234.0,148.64378786087036,5.422914840843446,59.92171094854636,71906053138.25563,552591606.5498962
236.0,150.91181445121765,5.505658393286646,60.8360043457088,73003205214.85057,578864460.9976006
238.0,153.43028926849365,5.597538953244388,61.85125915187169,74221510982.24603,573129141.8145866
240.0,155.65089178085327,5.678552351067381,62.74643481842409,75295721782.10892,554561315.9141312
242.0,158.01583337783813,5.764831616878484,63.69979687158546,76439756245.90256,583785086.958435
244.0,160.47808074951172,5.854660852299841,64.69238510828555,77630862129.94266,590363615.7889061
246.0,162.8974187374115,5.942924640974804,65.66767559088181,78801210709.05818,606063825.3482552
248.0,165.48948764801025,6.0374901062799,66.7125978594464,80055117431.33568,630270377.889019
250.0,168.10898423194885,6.133056204971326,67.7685768505119,81322292220.61426,613520510.1431541
252.0,170.56255221366882,6.222568793506418,68.75766622659025,82509199471.9083,555329702.3829956
254.0,172.7008819580078,6.300580665190195,69.6196758584552,83543611030.14624,531777182.2739639
256.0,174.95969939231873,6.382988243492396,70.53025683417012,84636308201.00415,583064045.2522926
258.0,177.52210879325867,6.476471652174637,71.56322267596285,85875867211.15541,605966367.7977028
260.0,179.9703004360199,6.565788097778037,72.55014472682915,87060173672.19496,556263536.0190353
262.0,182.121728181839,6.6442778188737135,73.41743446269295,88100921355.23155,552125424.9885406
264.0,184.5357027053833,6.732345934316247,74.39056281012428,89268675372.14912,631491567.1312332
266.0,187.34339141845703,6.834777774958302,75.5224063531304,90626887623.75648,622270497.0009499
268.0,189.68111896514893,6.920064200911534,76.46479780012744,91757757360.15292,613209395.6548386
270.0,192.4138834476471,7.019762609314179,77.56643767197987,93079725206.37584,640160156.7508011
272.0,194.97446084022522,7.1131791815313585,78.59866498929678,94318397987.15613,641930337.638752
274.0,197.72186255455017,7.213411594501868,79.70620546410903,95647446556.93085,614080545.0557098
276.0,200.05215620994568,7.2984268126231635,80.64560013948248,96774720167.37897,575058311.144474
278.0,202.47689175605774,7.3868875183637845,81.62306650125728,97947679801.50874,622398806.4979858
280.0,205.1986334323883,7.486183785916723,82.7202628278091,99264315393.37091,654795339.8175888
282.0,207.89124870300293,7.584417445875423,83.80571763398257,100566861160.7791,675350492.4087181
284.0,210.78295636177063,7.689914517793354,84.97143113583817,101965717363.00578,671178242.4019203
286.0,213.44107222557068,7.786889549000004,86.04297844198899,103251574130.38678,651582297.0103073
288.0,216.17074537277222,7.886475177391461,87.1433721258725,104572046551.04701,664342114.2351685
