SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
3422.9062448963655,11.199623783452331,1.190035659260083,38.69074249996791,645.2342089497708,0.7240750366307154,98.86620434132203,0.2458831476480654,1.0590619110591604,32.418429783012655,0.014533728909182031,0.04977429929965638,810.0,2430.0,100.0
2200.1281161414577,12.941232836448322,1.4068820206673678,37.524433530099856,497.64428153614904,3.658304126717397,77.97177207645512,0.20414973419946136,1.390776861371961,40.158904897925666,0.0,180.99001274528075,810.0,2430.0,100.0
2500.677872346855,12.318527314118697,2.2585818851431654,50.58651124021708,549.7486128142359,3.4032754053991994,83.6511739512876,0.28179704335050104,2.1500466851629483,35.18665635288544,0.0,300.08494165011086,810.0,2430.0,100.0
3391.611552686729,17.65653323364338,1.0534559651576316,84.31227358884601,640.7715003093865,2.0393945778806355,72.31236954848947,0.43020114874934734,1.5139444658398986,20.75179635055252,0.0,172.52885856251748,810.0,2430.0,100.0
130998.96815213608,9.068969393942666,0.39651138775639794,27.15713911782322,621.2024610853384,4.836933988917842,77.34431138337123,0.008854505821773273,1.378929325235788,3.7900362747298217,0.0,260.92917401110924,810.0,2430.0,100.0
4166.507808108001,11.963652476980876,4.259948833515722,32.939118113190204,602.6485033082301,4.935740754706444,91.4064827458426,0.32432918703283775,1.973019026940051,21.240805327049138,0.0,255.28048933368177,810.0,2430.0,100.0
112537.50347146613,10.80504409420702,0.5196364760431464,29.59122267793441,542.8264993077535,5.023539083907721,78.46095878918851,0.02993685980147376,0.9638087519117562,4.182814560907218,1.4702195016980113e-10,258.8778541497978,810.0,2430.0,100.0
32997.60104481752,9.04644332004034,3.2388359168170666,29.406752973366793,562.0776827812497,4.195419019721555,85.57059525549226,0.1841415139557654,1.4118844990145192,9.874374804412277,0.0,253.14411912932667,810.0,2430.0,100.0
44036.5915635314,11.811575313861063,0.9951102846013029,31.919272650987324,599.5291126438372,5.098564671043668,84.36983932877348,0.0958969993709502,1.2367291408769177,12.39996568472018,0.0,203.20958549666886,810.0,2430.0,100.0
3353.7195321290187,10.996953743700935,1.549703815960342,29.97958990798884,569.5746103378092,3.8531479188683946,54.225387196649024,0.22353754468127107,1.1731560139480166,49.81241370599563,0.0,166.00306115703108,810.0,2430.0,100.0
