SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
1411755.5173617671,10.977298437424103,1.0969272160812906,27.462560240182512,711.8545909890788,4.4352033785086675,78.33436279549585,0.0,0.8737085539474947,4.1960276733932815,0.0,334.03473794610704,810.0,2430.0,100.0
868769.3347029721,8.833661414373168,1.4975378070951422,30.73997560834144,527.490927304575,8.723775792754232,93.30451384056141,0.0,0.9567391956479412,3.7445418849728185,0.0,172.25848816784764,810.0,2430.0,100.0
1358781.3975590277,9.979905566040394,1.0963464841836696,30.04210400497226,699.6953921446466,5.195376993673875,91.32809280981655,0.0,0.9698726211162807,3.078908454832188,0.0,315.22018536186204,810.0,2430.0,100.0
960837.3566538838,10.86613922663733,1.380024042488003,31.171254552245017,473.58117073420044,7.175332979368633,81.57547357790014,0.0,1.0130784597727711,3.5234321839674934,1.468158927764307e-12,277.75398332313785,810.0,2430.0,100.0
1288330.618607881,9.015219779773282,1.138578324955553,30.650318493949555,735.7734175906969,3.892593756349413,74.51128115059038,0.0,1.1301152067989904,4.275536666761425,0.0,262.9721777449703,810.0,2430.0,100.0
1243917.044709119,11.311693523979692,0.967240225984348,30.75619779672857,689.6178909147231,5.366961463771162,74.59117969756198,0.0,0.935587335367984,4.3840568885773905,0.0,270.53963845977864,810.0,2430.0,100.0
1089046.9174972218,9.005380114519966,1.5768595808129717,27.593450737834843,573.0413731680871,5.146073428024842,75.37115088447615,0.0,1.2167260117184355,4.2010827691848505,5.824674076393421e-12,271.9588307447251,810.0,2430.0,100.0
1386792.3032408115,9.398249154185976,1.290336222196565,27.79278097760269,704.4632190638656,4.431882286812652,65.32431850481868,0.0,0.9745054193229521,4.076260539927041,2.0344687712281484e-08,327.48280630706904,810.0,2430.0,100.0
1328593.8920536842,8.332559258681911,1.1103515075956452,32.31856219189632,775.5838109171266,4.823774768616417,98.57444068970568,0.0,1.0232839094455244,4.131754924658267,0.0,258.071478081926,810.0,2430.0,100.0
1379190.5397566257,10.60056579200991,0.9668376562825642,32.956906754468065,693.2115555605428,5.0639904075103885,85.52743434852817,0.0,1.117469712021915,4.580070051051912,0.0,331.02515659103335,810.0,2430.0,100.0
